MAT	<p>8aa5_ef43</p> <p>Match each of the following five stages in <strong><span style="color: #d40000;">cellular respiration</span></strong> with their corresponding statements.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007576;">Electron Transport Chain</span></strong> (ETC)	Occurs in the membrane of the <strong><span style="color: #a719db;">mitochondrial matrix</span></strong> to produce the <strong><span style="color: #cc0066;">electrochemical gradient</span></strong>	<strong><span style="color: #b74300;">Pyruvate&nbsp;Oxidation</span></strong>	For each molecule of glucose, this stage produces zero (0) ATP and two (2) NADH molecules	<strong><span style="color: #c80085;">Cirtic Acid Cycle</span></strong> (TCA cycle)	Begins with the transfer of a two-carbon acetyl CoA to a four-carbon oxaloacetate to form a six-carbon citrate	<strong><span style="color: #3b7600;">Chemiosmosis</span></strong>	The only stage of <strong><span style="color: #d40000;">cellular respiration</span></strong> that does<strong> <strong>NOT</strong> </strong>involve <strong><span style="color: #00775f;">electron carriers</span></strong>	<strong><span style="color: #0067cc;">Glycolysis</span></strong>	For each molecule of glucose, this stage produces two (2) ATP and two (2) NADH molecules
MAT	<p>8aa5_85c7</p> <p>Match each of the following five stages in <strong><span style="color: #d40000;">cellular respiration</span></strong> with their corresponding statements.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #0067cc;">Glycolysis</span></strong>	The only stage of <strong><span style="color: #d40000;">cellular respiration</span></strong> that takes place in the cytosol of the cell	<strong><span style="color: #3b7600;">Chemiosmosis</span></strong>	Uses the <strong><span style="color: #cc0066;">electrochemical gradient</span></strong> to produce substrate-level phosphorylation energy molecules	<strong><span style="color: #b74300;">Pyruvate&nbsp;Oxidation</span></strong>	Pyruvate must enter the <strong><span style="color: #a719db;">mitochondrial matrix</span></strong> for this stage to begin	<strong><span style="color: #007576;">Electron Transport Chain</span></strong> (ETC)	Occurs in the membrane of the <strong><span style="color: #a719db;">mitochondrial matrix</span></strong> to produce the <strong><span style="color: #cc0066;">electrochemical gradient</span></strong>	<strong><span style="color: #c80085;">Cirtic Acid Cycle</span></strong> (TCA cycle)	Begins with the transfer of a two-carbon acetyl group to a four-carbon acceptor to form a six-carbon compound
MAT	<p>8aa5_ee94</p> <p>Match each of the following five stages in <strong><span style="color: #d40000;">cellular respiration</span></strong> with their corresponding statements.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007576;">Electron Transport Chain</span></strong> (ETC)	Involves a series of protein complexes to extract redox energy from the high energy electrons	<strong><span style="color: #b74300;">Pyruvate&nbsp;Oxidation</span></strong>	A stage that links glycolysis to the rest of <strong><span style="color: #d40000;">cellular respiration</span></strong>	<strong><span style="color: #c80085;">Cirtic Acid Cycle</span></strong> (TCA cycle)	Forms a GTP molecule which is equivalent to an ATP molecule	<strong><span style="color: #0067cc;">Glycolysis</span></strong>	For each molecule of glucose, this stage produces two (2) ATP and two (2) NADH molecules	<strong><span style="color: #3b7600;">Chemiosmosis</span></strong>	The protein ATP synthase works like a water turbine in a dam
MAT	<p>8aa5_1808</p> <p>Match each of the following five stages in <strong><span style="color: #d40000;">cellular respiration</span></strong> with their corresponding statements.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007576;">Electron Transport Chain</span></strong> (ETC)	Involves a series of protein complexes to extract redox energy from the high energy electrons	<strong><span style="color: #0067cc;">Glycolysis</span></strong>	The only stage of <strong><span style="color: #d40000;">cellular respiration</span></strong> that takes place in the cytosol of the cell	<strong><span style="color: #3b7600;">Chemiosmosis</span></strong>	Stage of <strong><span style="color: #d40000;">cellular respiration</span></strong> that produces the most ATP	<strong><span style="color: #b74300;">Pyruvate&nbsp;Oxidation</span></strong>	Short stage that produces carbon dioxide (CO<sub>2</sub>) and NADH	<strong><span style="color: #c80085;">Cirtic Acid Cycle</span></strong> (TCA cycle)	Begins with the transfer of a two-carbon acetyl group to a four-carbon acceptor to form a six-carbon compound
MAT	<p>8aa5_0c21</p> <p>Match each of the following five stages in <strong><span style="color: #d40000;">cellular respiration</span></strong> with their corresponding statements.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #0067cc;">Glycolysis</span></strong>	The only stage of <strong><span style="color: #d40000;">cellular respiration</span></strong> that takes place in the cytosol of the cell	<strong><span style="color: #c80085;">Cirtic Acid Cycle</span></strong> (TCA cycle)	Final stage in the oxidation of glucose into carbon dioxide (CO<sub>2</sub>)	<strong><span style="color: #b74300;">Pyruvate&nbsp;Oxidation</span></strong>	This stage is entirely carried out by a large enzyme complex called the<strong> <span style="color: #935d00;">pyruvate</span></strong> dehydrogenase complex	<strong><span style="color: #3b7600;">Chemiosmosis</span></strong>	The only stage of <strong><span style="color: #d40000;">cellular respiration</span></strong> that does<strong> <strong>NOT</strong> </strong>involve <strong><span style="color: #00775f;">electron carriers</span></strong>	<strong><span style="color: #007576;">Electron Transport Chain</span></strong> (ETC)	Occurs in the membrane of the <strong><span style="color: #a719db;">mitochondrial matrix</span></strong> to produce the <strong><span style="color: #cc0066;">electrochemical gradient</span></strong>
MAT	<p>8aa5_7768</p> <p>Match each of the following five stages in <strong><span style="color: #d40000;">cellular respiration</span></strong> with their corresponding statements.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #0067cc;">Glycolysis</span></strong>	The only stage of <strong><span style="color: #d40000;">cellular respiration</span></strong> that takes place in the cytosol of the cell	<strong><span style="color: #007576;">Electron Transport Chain</span></strong> (ETC)	Stage of <strong><span style="color: #d40000;">cellular respiration</span></strong> that extracts energy from the <strong><span style="color: #00775f;">electron carriers</span></strong> NADH and FADH<sub>2</sub>	<strong><span style="color: #c80085;">Cirtic Acid Cycle</span></strong> (TCA cycle)	Begins with the transfer of a two-carbon acetyl group to a four-carbon acceptor to form a six-carbon compound	<strong><span style="color: #b74300;">Pyruvate&nbsp;Oxidation</span></strong>	Takes<strong> <span style="color: #935d00;">pyruvate</span></strong> as input and produces acetyl-CoA	<strong><span style="color: #3b7600;">Chemiosmosis</span></strong>	Stage of <strong><span style="color: #d40000;">cellular respiration</span></strong> that produces the most ATP
MAT	<p>8aa5_9e4c</p> <p>Match each of the following five stages in <strong><span style="color: #d40000;">cellular respiration</span></strong> with their corresponding statements.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007576;">Electron Transport Chain</span></strong> (ETC)	Occurs in the membrane of the <strong><span style="color: #a719db;">mitochondrial matrix</span></strong> to produce the <strong><span style="color: #cc0066;">electrochemical gradient</span></strong>	<strong><span style="color: #b74300;">Pyruvate&nbsp;Oxidation</span></strong>	A stage that links glycolysis to the rest of <strong><span style="color: #d40000;">cellular respiration</span></strong>	<strong><span style="color: #3b7600;">Chemiosmosis</span></strong>	The protein ATP synthase works like a water turbine in a dam	<strong><span style="color: #c80085;">Cirtic Acid Cycle</span></strong> (TCA cycle)	Begins with the transfer of a two-carbon acetyl group to a four-carbon acceptor to form a six-carbon compound	<strong><span style="color: #0067cc;">Glycolysis</span></strong>	First stage of <strong><span style="color: #d40000;">cellular respiration</span></strong>
MAT	<p>8aa5_ab37</p> <p>Match each of the following five stages in <strong><span style="color: #d40000;">cellular respiration</span></strong> with their corresponding statements.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007576;">Electron Transport Chain</span></strong> (ETC)	Occurs in the membrane of the <strong><span style="color: #a719db;">mitochondrial matrix</span></strong> to produce the <strong><span style="color: #cc0066;">electrochemical gradient</span></strong>	<strong><span style="color: #b74300;">Pyruvate&nbsp;Oxidation</span></strong>	First stage of <strong><span style="color: #d40000;">cellular respiration</span></strong> that occurs within the mitochondria organelles	<strong><span style="color: #0067cc;">Glycolysis</span></strong>	For each molecule of glucose, this stage produces two (2) ATP and two (2) NADH molecules	<strong><span style="color: #c80085;">Cirtic Acid Cycle</span></strong> (TCA cycle)	The only stage of <strong><span style="color: #d40000;">cellular respiration</span></strong> that produces the electron acceptor FADH<sub>2</sub>	<strong><span style="color: #3b7600;">Chemiosmosis</span></strong>	Uses the <strong><span style="color: #cc0066;">electrochemical gradient</span></strong> to produce substrate-level phosphorylation energy molecules
MAT	<p>8aa5_282b</p> <p>Match each of the following five stages in <strong><span style="color: #d40000;">cellular respiration</span></strong> with their corresponding statements.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #c80085;">Cirtic Acid Cycle</span></strong> (TCA cycle)	The only stage of <strong><span style="color: #d40000;">cellular respiration</span></strong> that produces the electron acceptor FADH<sub>2</sub>	<strong><span style="color: #007576;">Electron Transport Chain</span></strong> (ETC)	Involves a series of protein complexes to extract redox energy from the high energy electrons	<strong><span style="color: #3b7600;">Chemiosmosis</span></strong>	Uses the <strong><span style="color: #cc0066;">electrochemical gradient</span></strong> to produce substrate-level phosphorylation energy molecules	<strong><span style="color: #0067cc;">Glycolysis</span></strong>	The only stage of <strong><span style="color: #d40000;">cellular respiration</span></strong> that takes place in the cytosol of the cell	<strong><span style="color: #b74300;">Pyruvate&nbsp;Oxidation</span></strong>	A stage that links glycolysis to the rest of <strong><span style="color: #d40000;">cellular respiration</span></strong>
MAT	<p>8aa5_0312</p> <p>Match each of the following five stages in <strong><span style="color: #d40000;">cellular respiration</span></strong> with their corresponding statements.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #c80085;">Cirtic Acid Cycle</span></strong> (TCA cycle)	Starts by joining a four carbon sugar and a two carbon sugar	<strong><span style="color: #3b7600;">Chemiosmosis</span></strong>	Stage of <strong><span style="color: #d40000;">cellular respiration</span></strong> that produces the most ATP	<strong><span style="color: #0067cc;">Glycolysis</span></strong>	First stage of <strong><span style="color: #d40000;">cellular respiration</span></strong>	<strong><span style="color: #007576;">Electron Transport Chain</span></strong> (ETC)	Occurs in the membrane of the <strong><span style="color: #a719db;">mitochondrial matrix</span></strong> to produce the <strong><span style="color: #cc0066;">electrochemical gradient</span></strong>	<strong><span style="color: #b74300;">Pyruvate&nbsp;Oxidation</span></strong>	For each molecule of glucose, this stage produces zero (0) ATP and two (2) NADH molecules
MAT	<p>8aa5_ed09</p> <p>Match each of the following five stages in <strong><span style="color: #d40000;">cellular respiration</span></strong> with their corresponding statements.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #c80085;">Cirtic Acid Cycle</span></strong> (TCA cycle)	Final stage in the oxidation of glucose into carbon dioxide (CO<sub>2</sub>)	<strong><span style="color: #0067cc;">Glycolysis</span></strong>	First stage of <strong><span style="color: #d40000;">cellular respiration</span></strong>	<strong><span style="color: #007576;">Electron Transport Chain</span></strong> (ETC)	Stage of <strong><span style="color: #d40000;">cellular respiration</span></strong> that extracts energy from the <strong><span style="color: #00775f;">electron carriers</span></strong> NADH and FADH<sub>2</sub>	<strong><span style="color: #b74300;">Pyruvate&nbsp;Oxidation</span></strong>	Short stage that produces carbon dioxide (CO<sub>2</sub>) and NADH	<strong><span style="color: #3b7600;">Chemiosmosis</span></strong>	The only stage of <strong><span style="color: #d40000;">cellular respiration</span></strong> that does<strong> <strong>NOT</strong> </strong>involve <strong><span style="color: #00775f;">electron carriers</span></strong>
MAT	<p>8aa5_d7af</p> <p>Match each of the following five stages in <strong><span style="color: #d40000;">cellular respiration</span></strong> with their corresponding statements.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #b74300;">Pyruvate&nbsp;Oxidation</span></strong>	Takes<strong> <span style="color: #935d00;">pyruvate</span></strong> as input and produces acetyl-CoA	<strong><span style="color: #c80085;">Cirtic Acid Cycle</span></strong> (TCA cycle)	The only stage of <strong><span style="color: #d40000;">cellular respiration</span></strong> that produces the electron acceptor FADH<sub>2</sub>	<strong><span style="color: #0067cc;">Glycolysis</span></strong>	The only stage of <strong><span style="color: #d40000;">cellular respiration</span></strong> that takes place in the cytosol of the cell	<strong><span style="color: #3b7600;">Chemiosmosis</span></strong>	Occurs in the membrane of the <strong><span style="color: #a719db;">mitochondrial matrix</span></strong> to produce ATP	<strong><span style="color: #007576;">Electron Transport Chain</span></strong> (ETC)	Stage of <strong><span style="color: #d40000;">cellular respiration</span></strong> that extracts energy from the <strong><span style="color: #00775f;">electron carriers</span></strong> NADH and FADH<sub>2</sub>
