MAT	<p>a88d_d2b9</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #d40000;">primary</span></strong>	N-terminal to C-terminal list of <strong><span style="color: #b74300;">amino acids</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	restriction of <strong><span style="color: #007a00;">backbone</span></strong> rotation by <strong><span style="color: #6c6c00;">peptide bonds</span></strong>	<strong><span style="color: #076dad;">tertiary</span></strong>	formation of disulfide bonds by special <strong><span style="color: #003fff;">side chains</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	number and arrangement of multiple folded <strong><span style="color: #c80085;">protein</span></strong> <strong><span style="color: #cc0066;">subunits</span></strong>
MAT	<p>a88d_8380</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #3b7600;">secondary</span></strong>	locations of &alpha;-helix structures within the <strong><span style="color: #007a00;">backbone</span></strong>	<strong><span style="color: #076dad;">tertiary</span></strong>	formation of disulfide bonds by special <strong><span style="color: #003fff;">side chains</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	organization and quantity of folded <strong><span style="color: #935d00;">polypeptide chains</span></strong>	<strong><span style="color: #d40000;">primary</span></strong>	formation of <strong><span style="color: #6c6c00;">peptide bonds</span></strong> to make a<strong> <span style="color: #935d00;">polypeptide chain</span></strong>
MAT	<p>a88d_386b</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #d40000;">primary</span></strong>	linear arrangement of the <strong><span style="color: #b74300;">amino acids</span></strong> connected by the <strong><span style="color: #6c6c00;">peptide bonds</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	<strong><span style="color: #007a00;">backbone</span></strong> <strong><span style="color: #007576;">dihedral angles</span></strong>	<strong><span style="color: #076dad;">tertiary</span></strong>	ionic salt bridge formations between charged <strong><span style="color: #003fff;">side chains</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	organization and quantity of folded <strong><span style="color: #935d00;">polypeptide chains</span></strong>
MAT	<p>a88d_c0c4</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">tertiary</span></strong>	<strong><span style="color: #00775f;">hydrogen bonding</span></strong> between polar <strong><span style="color: #003fff;">side chains</span></strong>	<strong><span style="color: #d40000;">primary</span></strong>	formation of <strong><span style="color: #6c6c00;">peptide bonds</span></strong> to make a<strong> <span style="color: #935d00;">polypeptide chain</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	number and arrangement of multiple folded <strong><span style="color: #c80085;">protein</span></strong> <strong><span style="color: #cc0066;">subunits</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	relative orientation of neighboring <strong><span style="color: #b74300;">amino acids</span></strong>
MAT	<p>a88d_0574</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #3b7600;">secondary</span></strong>	formation of a &alpha;-helix within the polypeptide <strong><span style="color: #007a00;">backbone</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	assembly of multiple <strong><span style="color: #935d00;">polypeptide chains</span></strong> into a <strong><span style="color: #c80085;">protein</span></strong> complex	<strong><span style="color: #076dad;">tertiary</span></strong>	formation of ionic salt bridges by charged <strong><span style="color: #003fff;">side chains</span></strong>	<strong><span style="color: #d40000;">primary</span></strong>	N-terminal to C-terminal list of <strong><span style="color: #b74300;">amino acids</span></strong>
MAT	<p>a88d_4d7c</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #d40000;">primary</span></strong>	linear arrangement of the <strong><span style="color: #b74300;">amino acids</span></strong> connected by the <strong><span style="color: #6c6c00;">peptide bonds</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	locations of &alpha;-helix structures within the <strong><span style="color: #007a00;">backbone</span></strong>	<strong><span style="color: #076dad;">tertiary</span></strong>	disulfide bridges linking distant <strong><span style="color: #b74300;">amino acids</span></strong> in the same<strong> <span style="color: #935d00;">polypeptide chain</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	way in which the different <strong><span style="color: #c80085;">protein</span></strong> <strong><span style="color: #cc0066;">subunits</span></strong> are packed together
MAT	<p>a88d_372b</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #d40000;">primary</span></strong>	length of the <strong><span style="color: #b74300;">amino acid</span> </strong>chain	<strong><span style="color: #076dad;">tertiary</span></strong>	highest level for a <strong><span style="color: #c80085;">protein</span></strong> with a single peptide chain	<strong><span style="color: #a719db;">quaternary</span></strong>	assembly of multiple <strong><span style="color: #935d00;">polypeptide chains</span></strong> into a <strong><span style="color: #c80085;">protein</span></strong> complex	<strong><span style="color: #3b7600;">secondary</span></strong>	&beta;-strand locations within polypeptide <strong><span style="color: #007a00;">backbone</span></strong>
MAT	<p>a88d_f574</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #d40000;">primary</span></strong>	linear arrangement of the <strong><span style="color: #b74300;">amino acids</span></strong> connected by the <strong><span style="color: #6c6c00;">peptide bonds</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	<strong><span style="color: #007a00;">backbone</span></strong> <strong><span style="color: #007576;">dihedral angles</span></strong>	<strong><span style="color: #076dad;">tertiary</span></strong>	hydrophobic <strong><span style="color: #0067cc;">interactions</span></strong> of <strong><span style="color: #b74300;">amino acid</span> </strong><strong><span style="color: #003fff;">side chains</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	organization and quantity of folded <strong><span style="color: #935d00;">polypeptide chains</span></strong>
MAT	<p>a88d_8c4b</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #3b7600;">secondary</span></strong>	&alpha;-helix structures linked by <strong><span style="color: #007a00;">backbone</span></strong> <strong><span style="color: #00775f;">hydrogen bonding</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	arrangement of many <strong><span style="color: #c80085;">protein</span></strong> domains	<strong><span style="color: #d40000;">primary</span></strong>	order of the <strong><span style="color: #b74300;">amino acids</span></strong> in a<strong> <span style="color: #935d00;">polypeptide chain</span></strong>	<strong><span style="color: #076dad;">tertiary</span></strong>	<strong><span style="color: #00775f;">hydrogen bonding</span></strong> between distant <strong><span style="color: #003fff;">side chain</span> </strong><strong><span style="color: #b74300;">amino acids</span></strong>
MAT	<p>a88d_fb20</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #d40000;">primary</span></strong>	N-terminal to C-terminal list of <strong><span style="color: #b74300;">amino acids</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	association of two or more <strong><span style="color: #935d00;">polypeptide chains</span></strong>	<strong><span style="color: #076dad;">tertiary</span></strong>	charged <strong><span style="color: #003fff;">side chain</span> </strong><strong><span style="color: #0067cc;">interactions</span></strong>	<strong><span style="color: #3b7600;">secondary</span></strong>	restriction of <strong><span style="color: #007a00;">backbone</span></strong> rotation by <strong><span style="color: #6c6c00;">peptide bonds</span></strong>
MAT	<p>a88d_c769</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #a719db;">quaternary</span></strong>	homo- and hetero-oligomers	<strong><span style="color: #076dad;">tertiary</span></strong>	hydrophobic <strong><span style="color: #003fff;">side chain</span> </strong><strong><span style="color: #0067cc;">interactions</span></strong>	<strong><span style="color: #d40000;">primary</span></strong>	length of the <strong><span style="color: #b74300;">amino acid</span> </strong>chain	<strong><span style="color: #3b7600;">secondary</span></strong>	<strong><span style="color: #6c6c00;">peptide bonds</span></strong> restricting rotation of the <strong><span style="color: #007a00;">backbone</span></strong>
MAT	<p>a88d_7ad3</p> <p>Match each of the following levels of <strong><span style="color: #c80085;">protein</span></strong> structure with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #3b7600;">secondary</span></strong>	&beta;-strand locations within polypeptide <strong><span style="color: #007a00;">backbone</span></strong>	<strong><span style="color: #a719db;">quaternary</span></strong>	arrangement of many <strong><span style="color: #c80085;">protein</span></strong> domains	<strong><span style="color: #d40000;">primary</span></strong>	<strong><span style="color: #b74300;">amino acid</span> </strong>chain length	<strong><span style="color: #076dad;">tertiary</span></strong>	ionic bonds between oppositely charged <strong><span style="color: #003fff;">side chains</span></strong>
