MAT	<p>45a0_f118</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	The <strong><span style="color: #b74300;">cell</span> </strong>walls rupture due to extreme temperature variations.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	This is laborious manual work that can take several minutes.	<strong><span style="color: #003fff;">French Press</span></strong>	A hydraulic press drives a piston to squeeze the sample through a needle valve.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Consists of a fast-spinning inner rotor with a stationary outer stator to produce shearing forces.
MAT	<p>45a0_2864</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Drill-like device with spinning rotor blades to shear <strong><span style="color: #d40000;">cells</span></strong> apart.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Digestion of the <strong><span style="color: #b74300;">cell</span> </strong>wall by chemical reactions.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	A spinning handheld device smashes <strong><span style="color: #d40000;">cells</span></strong> in a tube.	<strong><span style="color: #003fff;">French Press</span></strong>	A hydraulic piston within a cylinder forces <strong><span style="color: #d40000;">cells</span></strong> through a small hole using high pressure.
MAT	<p>45a0_f28e</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Digestion of the <strong><span style="color: #b74300;">cell</span> </strong>wall by chemical reactions.	<strong><span style="color: #6c6c00;">Bead-beating</span></strong>	Glass or ceramic particles stirred at high speeds crack <strong><span style="color: #d40000;">cells</span></strong> open.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Motorized device with rotating blades that shear <strong><span style="color: #d40000;">cells</span></strong> apart.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	This is laborious manual work that can take several minutes.
MAT	<p>45a0_18c3</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Protein catalysts decompose the microbial <strong><span style="color: #b74300;">cell</span> </strong>wall.	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	High pressures are generated using a Z-shaped chamber and a pump.	<strong><span style="color: #003fff;">French Press</span></strong>	A hydraulic press drives a piston to squeeze the sample through a needle valve.	<strong><span style="color: #6c6c00;">Bead-beating</span></strong>	Small glass particles are placed into a blender and act like bullets smashing the <strong><span style="color: #d40000;">cells</span></strong>.
MAT	<p>45a0_5e3c</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	Cells are pulverized through a combination of extreme cold.	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	A Z-shaped interaction chamber and pump work in tandem to exert high pressures on <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #003fff;">French Press</span></strong>	Cells are pushed through a small hole using high pressure from a hydraulic piston.	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	Grinding of the <strong><span style="color: #d40000;">cells</span></strong> by hand to disrupt the <strong><span style="color: #b74300;">cell</span> </strong>walls.
MAT	<p>45a0_54be</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	High pressures are generated using a Z-shaped chamber and a pump.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Cells are smashed using a spinning handheld device in a tube.	<strong><span style="color: #003fff;">French Press</span></strong>	A hydraulic piston within a cylinder forces <strong><span style="color: #d40000;">cells</span></strong> through a small hole using high pressure.	<strong><span style="color: #6c6c00;">Bead-beating</span></strong>	Gentle abrasion is applied to <strong><span style="color: #d40000;">cells</span></strong> through vortexing with glass or metal particles.
MAT	<p>45a0_9edc</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Spinning rotor blades shear the <strong><span style="color: #b74300;">cell</span> </strong>walls.	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	Numerous samples are processed simultaneously using a bead-beating machine.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Handheld device that spins in a tube to smash <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	The <strong><span style="color: #b74300;">cell</span> </strong>walls rupture due to extreme temperature variations.
MAT	<p>45a0_5841</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #3b7600;">Sonication</span></strong>	This technique applies high-frequency sound waves to shatter <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	A spinning handheld device smashes <strong><span style="color: #d40000;">cells</span></strong> in a tube.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Cells wall digestion by protein catalysts.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Motorized device with rotating blades that shear <strong><span style="color: #d40000;">cells</span></strong> apart.
MAT	<p>45a0_acd2</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Digestion of the <strong><span style="color: #b74300;">cell</span> </strong>wall by chemical reactions.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Consists of a fast-spinning inner rotor with a stationary outer stator to produce shearing forces.	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	The <strong><span style="color: #b74300;">cell</span> </strong>walls rupture due to extreme temperature variations.	<strong><span style="color: #6c6c00;">Bead-beating</span></strong>	Gentle abrasion is applied to <strong><span style="color: #d40000;">cells</span></strong> through vortexing with glass or metal particles.
MAT	<p>45a0_4abb</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	Uses a pump and a Z-shaped interaction chamber to create high pressures.	<strong><span style="color: #6c6c00;">Bead-beating</span></strong>	Tiny glass particles are mixed and stirred to a high level of agitation.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Spinning rotor blades shear the <strong><span style="color: #b74300;">cell</span> </strong>walls.	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	Extreme temperature variations cause <strong><span style="color: #b74300;">cell</span> </strong>wall rupture.
MAT	<p>45a0_4422</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Motorized device with rotating blades that shear <strong><span style="color: #d40000;">cells</span></strong> apart.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Lysozyme is commonly used to digest the <strong><span style="color: #b74300;">cell</span> </strong>wall of gram-positive bacteria.	<strong><span style="color: #3b7600;">Sonication</span></strong>	Shear force from high-frequency waves disrupts <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #007576;">Dounce Homogenizer</span></strong>	Cells are smashed using a spinning handheld device in a tube.
MAT	<p>45a0_711e</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Protein catalysts decompose the microbial <strong><span style="color: #b74300;">cell</span> </strong>wall.	<strong><span style="color: #0067cc;">Microfluidizer</span></strong>	Z-shaped chamber and pump create high pressure to disrupt <strong><span style="color: #d40000;">cells</span></strong>.	<strong><span style="color: #3b7600;">Sonication</span></strong>	Ultrasonic waves in short bursts are employed to disintegrate tissue.	<strong><span style="color: #a719db;">High-throughput Homogenizer</span></strong>	Large numbers of samples are disrupted simultaneously using a bead-beating machine.
MAT	<p>45a0_fc2a</p> <p>Match each of the following <strong><span style="color: #b74300;">cell</span> </strong>disruption techniques with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #00775f;">Mortar &amp; Pestle</span></strong>	This is laborious manual work that can take several minutes.	<strong><span style="color: #007a00;">Freeze-thaw</span></strong>	Under cold temperatures, the water inside the <strong><span style="color: #d40000;">cells</span></strong> expands into ice, causing the <strong><span style="color: #d40000;">cells</span></strong> to burst open.	<strong><span style="color: #076dad;">Mechanical Homogenizer</span></strong>	Spinning rotor blades shear the <strong><span style="color: #b74300;">cell</span> </strong>walls.	<strong><span style="color: #935d00;">Enzymatic Method</span></strong>	Digestive protein catalysts digest and decompose the microbial <strong><span style="color: #b74300;">cell</span> </strong>wall.
